model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize,Manufacturer
 Astra,,9295.0,Manual,17855.0,Petrol,20.0,64.2,1.0,vauxhall
 Astra,2017.0,9799.0,Manual,,Petrol,125.0,51.4,,vauxhall
 A6,2016.0,18450.0,Semi-Auto,29018.0,Diesel,30.0,64.2,2.0,Audi
 Fabia,2016.0,6491.0,Manual,17048.0,Petrol,20.0,60.1,1.0,skoda
 Fiesta,2015.0,,Manual,31197.0,Petrol,0.0,65.7,1.0,ford
 I10,2017.0,6798.0,Manual,30010.0,Petrol,145.0,60.1,1.0,hyundi
 GLC Class,,27498.0,Semi-Auto,23351.0,Diesel,145.0,56.5,2.1,merc
 Fiesta,2017.0,8200.0,Manual,10396.0,Petrol,,54.3,1.2,ford
 A6,2016.0,21000.0,Semi-Auto,28224.0,Diesel,145.0,55.4,,Audi
 Fiesta,2016.0,9995.0,Manual,,Petrol,0.0,65.7,1.0,ford
 A Class,,15549.0,Semi-Auto,45809.0,Diesel,20.0,68.9,2.1,merc
 Focus,2013.0,5999.0,Manual,41675.0,Petrol,20.0,58.9,,ford
 Focus,2018.0,12630.0,Manual,20790.0,Petrol,145.0,57.7,1.0,ford
 Octavia,2017.0,9990.0,Manual,50975.0,Diesel,,70.6,2.0,skoda
 Insignia,2018.0,12499.0,Manual,34097.0,Diesel,145.0,65.7,1.6,vauxhall
 Fiesta,2018.0,10998.0,Manual,16353.0,Petrol,145.0,65.7,1.0,ford
 Yaris,2019.0,,Automatic,22000.0,Petrol,145.0,47.9,1.5,toyota
 Q3,2017.0,17259.0,Manual,19297.0,Petrol,,51.4,1.4,Audi
 Aygo,2016.0,7499.0,Manual,18695.0,Petrol,,69.0,1.0,toyota
 E Class,2019.0,25276.0,Automatic,,Diesel,,67.3,2.0,merc
 Fiesta,2017.0,9560.0,Manual,5874.0,Petrol,145.0,65.7,1.0,ford
 2 Series,2020.0,37989.0,Automatic,3890.0,Petrol,145.0,36.2,2.0,BMW
 Superb,2016.0,,Semi-Auto,25593.0,Diesel,30.0,62.8,2.0,skoda
 Corsa,2016.0,,Manual,,Petrol,,55.4,1.4,vauxhall
 Golf,2019.0,16500.0,Manual,6638.0,Petrol,145.0,47.1,1.5,volkswagen
 I10,2018.0,8750.0,Manual,18382.0,Petrol,145.0,57.7,1.2,hyundi
 Q5,2016.0,29172.0,Semi-Auto,,Diesel,235.0,42.8,3.0,Audi
 Yaris,,9990.0,Manual,36526.0,Petrol,150.0,58.9,1.5,toyota
 Aygo,2016.0,5798.0,Manual,42318.0,Petrol,0.0,69.0,1.0,toyota
 Fiesta,,11499.0,Semi-Auto,33846.0,Petrol,145.0,,1.0,ford
 Aygo,2017.0,6750.0,Manual,23002.0,Petrol,150.0,69.0,1.0,toyota
 A6,2016.0,16200.0,Automatic,89334.0,Diesel,30.0,62.8,3.0,Audi
 C Class,2020.0,39995.0,Semi-Auto,5000.0,Petrol,145.0,44.1,1.5,merc
 A3,2019.0,24998.0,Semi-Auto,6266.0,Petrol,145.0,38.2,2.0,Audi
 Focus,2015.0,6980.0,Manual,14939.0,Petrol,,47.9,1.6,ford
 Focus,,10797.0,Manual,20967.0,Petrol,145.0,,1.0,ford
 A4,,31985.0,Manual,7456.0,Petrol,145.0,40.9,2.0,Audi
 Polo,2014.0,7499.0,Manual,21000.0,Diesel,20.0,72.4,1.2,volkswagen
 I10,2019.0,10995.0,Automatic,,Petrol,145.0,47.9,,hyundi
 Fiesta,2019.0,16000.0,Manual,9156.0,Petrol,145.0,,1.0,ford
 3 Series,2017.0,12300.0,Manual,29783.0,Petrol,125.0,52.3,1.5,BMW
 Mokka X,2019.0,12990.0,Manual,9375.0,Petrol,145.0,39.2,1.4,vauxhall
 Golf,2020.0,22490.0,Manual,500.0,Petrol,150.0,49.6,1.5,volkswagen
 C Class,,17599.0,Semi-Auto,,Diesel,20.0,64.2,2.1,merc
 Aygo,2018.0,7998.0,Manual,8224.0,Petrol,145.0,,1.0,toyota
 Superb,,,Semi-Auto,47000.0,Diesel,,35.8,,skoda
 Tiguan,2019.0,30989.0,Automatic,4076.0,Diesel,145.0,39.8,2.0,volkswagen
 Mokka,2015.0,8199.0,Manual,26433.0,Petrol,200.0,40.9,1.6,vauxhall
 Polo,2020.0,15500.0,Manual,1500.0,Petrol,145.0,52.3,1.0,volkswagen
 Focus,2013.0,,Manual,65815.0,Diesel,20.0,67.3,1.6,ford
 A1,2017.0,13222.0,Manual,,Petrol,30.0,55.4,1.4,Audi
 Fabia,2016.0,8490.0,Manual,33308.0,Petrol,,60.1,1.2,skoda
 GLA Class,2019.0,23149.0,Semi-Auto,13406.0,Diesel,145.0,,,merc
 C Class,2017.0,20612.0,Semi-Auto,,Diesel,30.0,,2.1,merc
 C Class,,,Semi-Auto,,Diesel,145.0,61.4,2.0,merc
 Corsa,2011.0,3000.0,Manual,93400.0,Petrol,125.0,51.4,1.4,vauxhall
 Polo,2019.0,14990.0,Manual,1179.0,Petrol,145.0,,1.0,volkswagen
 A Class,2016.0,13599.0,Automatic,29214.0,Petrol,125.0,53.3,1.6,merc
 Octavia,2017.0,16990.0,Semi-Auto,34027.0,Diesel,150.0,57.7,2.0,skoda
 Fiesta,2018.0,12500.0,Manual,3638.0,Petrol,145.0,61.4,1.0,ford
 A5,2017.0,,Semi-Auto,51243.0,Diesel,,,2.0,Audi
 A Class,2016.0,13940.0,Manual,37531.0,Diesel,,68.9,1.5,merc
 Kuga,2018.0,16489.0,Manual,40658.0,Diesel,145.0,,2.0,ford
 Kuga,2018.0,20200.0,Automatic,6808.0,Petrol,145.0,,1.5,ford
 E Class,2016.0,18980.0,Semi-Auto,33079.0,Diesel,20.0,72.4,2.0,merc
 Superb,2016.0,13000.0,Manual,,Diesel,20.0,,1.6,skoda
 A Class,,18990.0,Semi-Auto,14576.0,Diesel,145.0,68.9,1.5,merc
 Fiesta,,8989.0,Manual,8867.0,Petrol,145.0,54.3,1.2,ford
 Golf,2016.0,17549.0,Automatic,,Petrol,200.0,40.4,2.0,volkswagen
 Superb,,19995.0,Semi-Auto,44520.0,Petrol,200.0,39.8,,skoda
 Fiesta,2018.0,,Manual,29215.0,Petrol,145.0,64.2,1.1,ford
 Tiguan,2019.0,27995.0,Semi-Auto,19566.0,Diesel,145.0,,2.0,volkswagen
 Aygo,2016.0,7999.0,Manual,36533.0,Petrol,0.0,69.0,1.0,toyota
 A Class,2017.0,15472.0,Manual,24475.0,Diesel,145.0,68.9,1.5,merc
 2 Series,2016.0,19372.0,Semi-Auto,27584.0,Petrol,260.0,35.8,3.0,BMW
 Kuga,2019.0,11698.0,Semi-Auto,,Diesel,145.0,42.2,2.0,ford
 A3,2019.0,22510.0,Automatic,,Diesel,145.0,52.3,1.6,Audi
 Golf,2018.0,19990.0,Semi-Auto,31560.0,Petrol,145.0,,2.0,volkswagen
 Fiesta,2018.0,10999.0,Manual,28323.0,Petrol,145.0,65.7,1.0,ford
 Corsa,2015.0,7995.0,Manual,34959.0,Petrol,125.0,54.3,,vauxhall
 Focus,2014.0,7298.0,Manual,62125.0,Diesel,20.0,67.3,1.6,ford
 Golf,,20000.0,Manual,50.0,Diesel,,62.8,,volkswagen
 Fabia,2017.0,8799.0,Manual,13645.0,Petrol,145.0,,1.0,skoda
 Fiesta,2018.0,11463.0,Manual,18000.0,Petrol,145.0,65.7,0.0,ford
 C Class,2017.0,17280.0,Semi-Auto,42294.0,Diesel,145.0,64.2,2.1,merc
 Tucson,2017.0,13998.0,Semi-Auto,30335.0,Diesel,150.0,57.6,1.7,hyundi
 Q2,2017.0,21985.0,Semi-Auto,11126.0,Diesel,145.0,57.7,,Audi
 Fiesta,2019.0,16295.0,Manual,2409.0,Petrol,145.0,58.9,1.0,ford
 Fiesta,2013.0,,Manual,45250.0,Diesel,,85.6,1.6,ford
 Astra,2014.0,5495.0,Manual,59000.0,Diesel,30.0,62.8,1.7,vauxhall
 A6,2018.0,,Semi-Auto,5894.0,Diesel,145.0,56.5,2.0,Audi
 3 Series,,16000.0,Automatic,47495.0,Other,135.0,134.5,2.0,BMW
 Golf,2014.0,12995.0,Manual,75000.0,Diesel,20.0,67.3,2.0,volkswagen
 Fiesta,2018.0,10490.0,Manual,,Petrol,145.0,65.7,1.0,ford
 Corsa,2019.0,10995.0,Manual,8000.0,Petrol,145.0,43.5,1.4,vauxhall
 Golf,2018.0,25490.0,Automatic,27284.0,Petrol,145.0,39.8,2.0,volkswagen
 Focus,2018.0,17500.0,Manual,14008.0,Petrol,150.0,51.4,1.5,ford
 2 Series,2016.0,13522.0,Manual,53207.0,Diesel,20.0,68.9,,BMW
 Fiesta,2015.0,7780.0,Manual,43008.0,Petrol,0.0,65.7,1.0,ford
 3 Series,,26750.0,Automatic,6579.0,Petrol,,42.2,2.0,BMW
 Polo,2017.0,11990.0,Semi-Auto,26971.0,Petrol,150.0,60.1,1.2,volkswagen
 Tucson,2017.0,13735.0,Manual,19348.0,Diesel,30.0,61.7,1.7,hyundi
 Focus,2015.0,9880.0,Semi-Auto,13370.0,Petrol,160.0,,1.6,ford
 Fiesta,2013.0,7550.0,Manual,19298.0,Petrol,0.0,65.7,1.0,ford
 Corsa,2017.0,9900.0,Automatic,12408.0,Petrol,150.0,47.9,1.4,vauxhall
 Focus,2017.0,12695.0,Manual,3937.0,Petrol,20.0,,1.0,ford
 1 Series,2013.0,6450.0,Manual,90000.0,Diesel,30.0,65.7,2.0,BMW
 A3,2015.0,14500.0,Manual,39522.0,Petrol,20.0,60.1,1.4,Audi
 Corsa,2015.0,6929.0,Manual,11362.0,Petrol,125.0,52.3,1.2,vauxhall
 A4,,,Automatic,,Diesel,145.0,70.6,2.0,Audi
 1 Series,2016.0,15700.0,Manual,19732.0,Diesel,30.0,62.8,2.0,BMW
 Tiguan,2020.0,,Semi-Auto,669.0,Petrol,145.0,30.4,2.0,volkswagen
 Fiesta,2018.0,11350.0,Manual,1931.0,Petrol,145.0,65.7,1.0,ford
 Polo,2019.0,14699.0,Manual,3100.0,Petrol,145.0,52.3,1.0,volkswagen
 A Class,2014.0,11850.0,Manual,54004.0,Diesel,30.0,62.8,2.1,merc
 Up,2019.0,9750.0,Manual,2852.0,Petrol,145.0,54.3,1.0,volkswagen
 Q3,2018.0,,Semi-Auto,9153.0,Petrol,145.0,45.6,1.4,Audi
 A5,2019.0,36990.0,Automatic,2500.0,Petrol,,38.7,2.0,Audi
 E Class,2017.0,21499.0,Semi-Auto,,Diesel,30.0,61.4,2.0,merc
 Golf,2019.0,16290.0,Manual,7149.0,Diesel,150.0,55.4,,volkswagen
 Mokka X,2017.0,11602.0,Manual,12500.0,Petrol,150.0,47.1,1.4,vauxhall
 Mokka X,2017.0,,Semi-Auto,12579.0,Petrol,160.0,43.5,1.4,vauxhall
 I10,2017.0,6950.0,Manual,33000.0,Petrol,145.0,57.7,1.2,hyundi
 Fabia,2018.0,6995.0,Manual,31195.0,Petrol,145.0,57.7,1.0,skoda
 E Class,,34630.0,Automatic,3752.0,Diesel,145.0,42.8,2.0,merc
 Fiesta,2016.0,11600.0,Manual,11548.0,Petrol,20.0,62.8,1.0,ford
 Polo,2016.0,8795.0,Manual,,Petrol,20.0,60.1,1.0,volkswagen
 E Class,2017.0,20998.0,Semi-Auto,29816.0,Diesel,145.0,61.4,2.0,merc
 Fiesta,,11991.0,Manual,25515.0,Petrol,145.0,62.8,1.0,ford
 C Class,,24999.0,Automatic,9695.0,Diesel,,64.2,2.0,merc
 3 Series,2016.0,18988.0,Automatic,32722.0,Hybrid,0.0,134.5,2.0,BMW
 C Class,2017.0,18990.0,Semi-Auto,37730.0,Diesel,150.0,64.2,2.1,merc
 I10,2017.0,7250.0,Manual,30000.0,Petrol,,60.1,1.0,hyundi
 Kuga,,,Manual,,Diesel,125.0,60.1,2.0,ford
 3 Series,2014.0,13499.0,Automatic,54842.0,Diesel,30.0,62.8,2.0,BMW
 Astra,2017.0,9691.0,Manual,32393.0,Petrol,,51.4,1.4,vauxhall
 Fabia,2019.0,10999.0,Manual,4000.0,Petrol,145.0,,1.0,skoda
 Mokka X,2017.0,11490.0,Manual,,Petrol,145.0,,1.6,vauxhall
 C Class,,,Semi-Auto,13096.0,Diesel,,61.4,2.1,merc
 C Class,2019.0,34919.0,Semi-Auto,2292.0,Petrol,145.0,44.1,1.5,merc
 Fiesta,2017.0,10999.0,Manual,,Petrol,,65.7,,ford
 Insignia,2017.0,14990.0,Manual,17320.0,Diesel,140.0,54.3,2.0,vauxhall
 A Class,2017.0,,Semi-Auto,19850.0,Petrol,145.0,52.3,1.6,merc
 E Class,2018.0,30980.0,Automatic,2247.0,Diesel,145.0,57.7,2.0,merc
 3 Series,2014.0,10147.0,Manual,55150.0,Diesel,30.0,61.4,2.0,BMW
 Focus,2017.0,15490.0,Manual,17988.0,Petrol,145.0,41.5,2.0,ford
 Fabia,2019.0,11995.0,Manual,,Petrol,,61.4,1.0,skoda
 A1,2014.0,10399.0,Manual,34452.0,Petrol,125.0,52.3,1.4,Audi
 3 Series,2015.0,12950.0,Manual,52338.0,Diesel,30.0,64.2,2.0,BMW
 Focus,,10700.0,Manual,31386.0,Petrol,150.0,60.1,1.0,ford
 Aygo,2018.0,8141.0,Manual,10757.0,Petrol,145.0,68.9,1.0,toyota
 Golf,2019.0,17490.0,Manual,,Petrol,145.0,,,volkswagen
 A4,2017.0,,Manual,,Diesel,145.0,74.3,2.0,Audi
 Mokka,2016.0,8060.0,Manual,57370.0,Diesel,20.0,68.9,1.6,vauxhall
 4 Series,2016.0,17127.0,Semi-Auto,34479.0,Diesel,30.0,65.7,2.0,BMW
 Octavia,2017.0,13495.0,Semi-Auto,,Petrol,145.0,57.7,,skoda
 2 Series,2015.0,14750.0,Semi-Auto,16073.0,Diesel,125.0,61.4,2.0,BMW
 Fabia,2019.0,9995.0,Manual,100.0,Petrol,145.0,57.7,1.0,skoda
 GLC Class,2019.0,33495.0,Semi-Auto,12344.0,Diesel,145.0,56.5,2.1,merc
 I10,,7289.0,Manual,16512.0,Petrol,145.0,57.7,1.2,hyundi
 C Class,2019.0,29799.0,Semi-Auto,9168.0,Diesel,145.0,57.7,2.0,merc
 Mokka X,2018.0,,Manual,13328.0,Petrol,145.0,47.1,1.4,vauxhall
 A5,2015.0,15950.0,Automatic,30554.0,Diesel,160.0,52.3,2.0,Audi
 C Class,,21960.0,Semi-Auto,,Diesel,145.0,,2.0,merc
 Polo,2018.0,11450.0,Manual,24723.0,Petrol,150.0,64.2,1.0,volkswagen
 Yaris,2019.0,15995.0,Automatic,26.0,Petrol,145.0,47.9,1.5,toyota
 I10,2020.0,11795.0,Manual,85.0,Petrol,145.0,56.5,1.0,hyundi
 C Class,2017.0,13610.0,Manual,32783.0,Petrol,125.0,53.3,2.0,merc
 C Class,,15495.0,Semi-Auto,21064.0,Petrol,125.0,52.3,2.0,merc
 Corsa,2018.0,9000.0,Manual,16734.0,Petrol,145.0,54.3,1.4,vauxhall
 Q3,2017.0,18350.0,Automatic,31000.0,Petrol,145.0,47.9,1.4,Audi
 Polo,2019.0,13790.0,Manual,,Diesel,145.0,57.7,1.6,volkswagen
 EcoSport,2019.0,,Manual,9969.0,Petrol,150.0,,1.0,ford
 A1,2016.0,9500.0,Manual,37008.0,Diesel,0.0,76.3,,Audi
 A3,,20990.0,Automatic,40000.0,Petrol,160.0,44.1,2.0,Audi
 4 Series,2019.0,,Automatic,8509.0,Diesel,145.0,65.7,2.0,BMW
 Golf,2019.0,21791.0,Semi-Auto,2357.0,Petrol,150.0,44.1,1.5,volkswagen
 E Class,,24981.0,Automatic,,Diesel,145.0,72.4,2.0,merc
 Octavia,2018.0,12060.0,Automatic,24752.0,Petrol,,57.7,1.5,skoda
 Golf,2019.0,,Semi-Auto,9666.0,Petrol,145.0,44.1,1.5,volkswagen
 A1,,13995.0,Manual,15981.0,Petrol,145.0,57.6,1.4,Audi
 1 Series,2016.0,,Automatic,51215.0,Petrol,205.0,,3.0,BMW
 C Class,2015.0,12299.0,Manual,,Petrol,125.0,52.3,2.0,merc
 A3,2013.0,9999.0,Manual,34801.0,Petrol,,60.1,1.4,Audi
 Mokka X,,13790.0,Semi-Auto,25552.0,Petrol,145.0,37.2,1.4,vauxhall
 Focus,2019.0,15860.0,Manual,4265.0,Petrol,145.0,60.1,1.0,ford
 1 Series,2018.0,,Semi-Auto,19959.0,Petrol,,,3.0,BMW
 A4,2019.0,18998.0,Manual,5790.0,Petrol,145.0,41.5,2.0,Audi
 Tucson,2017.0,,Manual,13794.0,Petrol,150.0,,1.6,hyundi
 Yaris,,10250.0,Automatic,41080.0,Hybrid,0.0,86.0,,toyota
 Fabia,2019.0,,Semi-Auto,2894.0,Petrol,145.0,,1.0,skoda
 Polo,2019.0,11388.0,Manual,,Petrol,145.0,48.7,,volkswagen
 A Class,2019.0,18498.0,Automatic,12432.0,Diesel,145.0,68.9,1.5,merc
 Polo,2019.0,14495.0,Manual,,Petrol,145.0,52.3,1.0,volkswagen
 Golf,2016.0,18999.0,Manual,,Petrol,145.0,47.1,2.0,volkswagen
 Fiesta,2017.0,8591.0,Manual,17082.0,Petrol,150.0,64.2,1.1,ford
 Polo,2016.0,9290.0,Manual,30966.0,Petrol,20.0,,1.2,volkswagen
 Focus,2018.0,15995.0,Manual,29649.0,Diesel,145.0,67.3,2.0,ford
 1 Series,2016.0,14802.0,Semi-Auto,26804.0,Diesel,20.0,68.9,1.5,BMW
 Corsa,2018.0,8499.0,Manual,15576.0,Petrol,145.0,43.5,1.4,vauxhall
 Tiguan,,32390.0,Semi-Auto,2631.0,Diesel,145.0,,2.0,volkswagen
 Fiesta,,15040.0,Automatic,6987.0,Petrol,145.0,48.7,,ford
 Fiesta,2018.0,10498.0,Manual,10356.0,Petrol,145.0,65.7,,ford
 5 Series,2014.0,11998.0,Semi-Auto,60681.0,Diesel,125.0,,2.0,BMW
 Fiesta,2016.0,10300.0,Manual,25997.0,Petrol,0.0,65.7,1.0,ford
 Kuga,2019.0,18691.0,Manual,151.0,Diesel,145.0,38.2,2.0,ford
 Polo,2016.0,9995.0,Manual,39696.0,Petrol,,61.4,1.4,volkswagen
 Corsa,2016.0,6990.0,Manual,,Petrol,30.0,55.4,1.4,vauxhall
 Mokka,2016.0,6794.0,Manual,97000.0,Diesel,20.0,,,vauxhall
 Tucson,2017.0,,Automatic,,Diesel,145.0,47.1,2.0,hyundi
 Mokka X,,14340.0,Manual,100.0,Petrol,145.0,39.2,1.4,vauxhall
 Fiesta,2018.0,12000.0,Manual,9662.0,Diesel,145.0,88.3,1.5,ford
 Mokka,2016.0,9699.0,Manual,12597.0,Petrol,160.0,44.8,1.4,vauxhall
 Golf,,22458.0,Manual,11427.0,Petrol,145.0,,2.0,volkswagen
 Insignia,2017.0,,Manual,65898.0,Diesel,,72.4,1.6,vauxhall
 Fabia,2017.0,7995.0,Manual,19947.0,Petrol,150.0,60.1,,skoda
 A6,2019.0,30500.0,Automatic,7000.0,Diesel,145.0,50.4,,Audi
 Astra,2018.0,13695.0,Manual,,Petrol,145.0,45.6,1.6,vauxhall
 Focus,2016.0,11555.0,Semi-Auto,10136.0,Petrol,125.0,51.4,1.0,ford
 Golf,2016.0,15346.0,Automatic,58595.0,Diesel,30.0,62.8,2.0,volkswagen
 3 Series,2015.0,,Automatic,37087.0,Diesel,125.0,61.4,2.0,BMW
 Tiguan,2018.0,18799.0,Automatic,11278.0,Diesel,145.0,49.6,2.0,volkswagen
 Tucson,2019.0,14600.0,Manual,18432.0,Petrol,145.0,34.9,1.6,hyundi
 GLC Class,2018.0,60799.0,Semi-Auto,1563.0,Petrol,145.0,26.4,4.0,merc
 5 Series,2014.0,,Semi-Auto,,Diesel,125.0,57.6,2.0,BMW
 Octavia,2017.0,10698.0,Semi-Auto,25669.0,Diesel,150.0,72.4,1.6,skoda
 Fiesta,2018.0,12490.0,Manual,16975.0,Diesel,145.0,88.3,1.5,ford
 I10,2018.0,,Manual,,Petrol,150.0,60.1,1.0,hyundi
 I10,2017.0,6089.0,Manual,52539.0,Petrol,,,1.2,hyundi
 Q3,2019.0,27200.0,Manual,4423.0,Diesel,150.0,40.9,2.0,Audi
 Focus,,6900.0,Manual,26443.0,Petrol,145.0,60.1,1.0,ford
 X1,2019.0,25780.0,Semi-Auto,4224.0,Diesel,145.0,60.1,,BMW
 A3,2019.0,23950.0,Semi-Auto,3670.0,Diesel,145.0,51.4,2.0,Audi
 Fiesta,,9990.0,Manual,38081.0,Petrol,145.0,65.7,1.0,ford
 1 Series,2019.0,15989.0,Automatic,7892.0,Petrol,145.0,55.5,1.5,BMW
 Golf,2016.0,10852.0,Manual,43090.0,Diesel,,74.3,1.6,volkswagen
 Mokka X,2019.0,11995.0,Manual,20702.0,Petrol,145.0,39.2,1.4,vauxhall
 Astra,2012.0,,Manual,83870.0,Petrol,125.0,51.4,,vauxhall
 Fiesta,2015.0,7790.0,Manual,30947.0,Petrol,0.0,65.7,1.0,ford
 C Class,2011.0,8995.0,Automatic,69250.0,Diesel,150.0,53.3,2.1,merc
 Insignia,2016.0,,Manual,,Diesel,0.0,74.3,1.6,vauxhall
 Polo,,11150.0,Manual,26675.0,Petrol,0.0,65.7,1.0,volkswagen
 Octavia,2017.0,15995.0,Semi-Auto,27988.0,Diesel,125.0,60.1,2.0,skoda
 Q5,2019.0,31950.0,Semi-Auto,4879.0,Diesel,150.0,38.2,2.0,Audi
 C Class,2019.0,45199.0,Semi-Auto,7635.0,Petrol,145.0,30.4,3.0,merc
 3 Series,2017.0,8795.0,Manual,108190.0,Diesel,30.0,62.8,2.0,BMW
 Fiesta,2018.0,9997.0,Manual,,Petrol,145.0,,1.0,ford
 GLC Class,2019.0,75729.0,Semi-Auto,1000.0,Petrol,145.0,22.1,4.0,merc
 Astra,2018.0,13995.0,Semi-Auto,18877.0,Petrol,145.0,51.4,1.4,vauxhall
 X1,2014.0,11298.0,Semi-Auto,33046.0,Diesel,160.0,52.3,2.0,BMW
 Yaris,2019.0,,Automatic,,Hybrid,,76.3,1.5,toyota
 A4,2016.0,17790.0,Manual,28290.0,Diesel,30.0,67.3,2.0,Audi
 A1,2019.0,18500.0,Manual,3500.0,Petrol,150.0,51.4,1.0,Audi
 Fabia,,8995.0,Manual,22352.0,Petrol,20.0,58.8,1.2,skoda
 Golf,2018.0,21995.0,Semi-Auto,16581.0,Hybrid,140.0,166.2,1.4,volkswagen
 Golf,2018.0,15990.0,Manual,12406.0,Petrol,150.0,58.9,1.5,volkswagen
 1 Series,2015.0,12999.0,Automatic,28571.0,Diesel,20.0,67.3,2.0,BMW
 GLA Class,2016.0,,Semi-Auto,,Diesel,125.0,,2.1,merc
 Astra,2014.0,5995.0,Manual,52000.0,Petrol,,51.4,1.4,vauxhall
 A Class,,24999.0,Automatic,2163.0,Petrol,,53.3,,merc
 2 Series,2018.0,16998.0,Manual,5898.0,Petrol,145.0,42.2,1.5,BMW
 Corsa,,4499.0,Manual,57311.0,Petrol,125.0,51.4,,vauxhall
 Superb,2017.0,18990.0,Semi-Auto,19258.0,Diesel,30.0,,,skoda
 Golf,2016.0,17490.0,Semi-Auto,31000.0,Diesel,30.0,62.8,2.0,volkswagen
 Fiesta,2017.0,8498.0,Manual,17292.0,Petrol,,,1.2,ford
 Corsa,2019.0,11529.0,Manual,3317.0,Petrol,150.0,43.5,1.4,vauxhall
 A3,2019.0,17691.0,Manual,12666.0,Diesel,145.0,51.4,1.6,Audi
 C Class,2019.0,35099.0,Semi-Auto,2512.0,Petrol,145.0,44.1,1.5,merc
 Q3,2017.0,18298.0,Semi-Auto,26807.0,Petrol,145.0,47.9,1.4,Audi
 Corsa,2017.0,9000.0,Manual,15261.0,Petrol,150.0,54.3,1.4,vauxhall
 Fiesta,2018.0,11995.0,Manual,17729.0,Petrol,,65.7,1.0,ford
 Polo,2016.0,9995.0,Manual,27253.0,Petrol,20.0,60.1,1.2,volkswagen
 Astra,2017.0,8298.0,Manual,54699.0,Diesel,0.0,83.1,1.6,vauxhall
 5 Series,2019.0,28810.0,Semi-Auto,5211.0,Diesel,145.0,65.7,2.0,BMW
 C Class,2006.0,1695.0,Automatic,,Petrol,300.0,33.6,,merc
 Mokka X,2017.0,12884.0,Semi-Auto,8977.0,Petrol,,43.5,,vauxhall
 GLC Class,2018.0,31199.0,Semi-Auto,11673.0,Diesel,145.0,56.5,2.1,merc
 Fiesta,2017.0,10495.0,Manual,15704.0,Petrol,,65.7,1.0,ford
 2 Series,2018.0,23750.0,Semi-Auto,16512.0,Petrol,145.0,39.8,3.0,BMW
 Fiesta,2016.0,8298.0,Manual,26039.0,Petrol,0.0,65.7,1.0,ford
 C Class,,22805.0,Automatic,,Diesel,145.0,67.3,2.1,merc
 Polo,2017.0,10142.0,Manual,19597.0,Petrol,,,,volkswagen
 2 Series,,20000.0,Automatic,18673.0,Diesel,145.0,47.1,2.0,BMW
 Q3,2013.0,12695.0,Semi-Auto,,Diesel,,47.9,2.0,Audi
 A4,2015.0,12995.0,Manual,92582.0,Diesel,150.0,53.3,,Audi
 I10,,4120.0,Manual,42186.0,Petrol,20.0,61.4,1.2,hyundi
 Mokka,2016.0,9160.0,Manual,17164.0,Petrol,200.0,40.9,,vauxhall
 Astra,2010.0,3499.0,Manual,,Diesel,125.0,57.6,2.0,vauxhall
 5 Series,2017.0,21850.0,Automatic,33000.0,Diesel,145.0,65.7,2.0,BMW
 4 Series,2018.0,,Automatic,9482.0,Petrol,145.0,48.7,2.0,BMW
 A6,2016.0,16990.0,Automatic,34000.0,Diesel,30.0,61.4,2.0,Audi
 Fiesta,2019.0,18917.0,Manual,7968.0,Petrol,145.0,40.3,1.5,ford
 A4,2019.0,28995.0,Semi-Auto,4708.0,Diesel,145.0,49.6,2.0,Audi
 Octavia,2014.0,7891.0,Manual,50110.0,Diesel,0.0,74.3,,skoda
 Passat,2015.0,15498.0,Manual,13148.0,Diesel,,68.9,,volkswagen
 4 Series,2016.0,17199.0,Automatic,31919.0,Diesel,30.0,65.7,2.0,BMW
 C Class,2019.0,27299.0,Automatic,2584.0,Diesel,145.0,,1.6,merc
 Focus,2017.0,10620.0,Manual,18385.0,Diesel,,74.3,1.5,ford
 3 Series,,27372.0,Semi-Auto,6336.0,Diesel,145.0,52.3,2.0,BMW
 Q3,,18799.0,Automatic,44900.0,Diesel,160.0,50.4,2.0,Audi
 Fabia,2018.0,,Manual,12941.0,Petrol,145.0,64.2,1.0,skoda
 A3,2017.0,18000.0,Manual,16417.0,Diesel,145.0,67.3,,Audi
 1 Series,,13950.0,Manual,36916.0,Petrol,150.0,50.4,1.6,BMW
 Fiesta,,,Manual,14763.0,Petrol,145.0,58.9,1.0,ford
 Octavia,2017.0,15400.0,Automatic,19576.0,Diesel,145.0,61.4,0.0,skoda
 Corsa,2019.0,9500.0,Manual,,Petrol,150.0,43.5,1.4,vauxhall
 Q3,2020.0,34000.0,Automatic,1000.0,Petrol,145.0,31.4,2.0,Audi
 Astra,2019.0,13599.0,Manual,,Diesel,145.0,72.4,1.6,vauxhall
 Tiguan,2017.0,17360.0,Semi-Auto,33670.0,Diesel,145.0,,2.0,volkswagen
 A Class,2018.0,18470.0,Automatic,14291.0,Petrol,145.0,52.3,1.6,merc
 Fiesta,2018.0,10191.0,Manual,11462.0,Petrol,145.0,65.7,1.0,ford
 X1,2019.0,25990.0,Automatic,15608.0,Petrol,150.0,46.3,1.5,BMW
 A4,2016.0,17699.0,Manual,17855.0,Diesel,30.0,64.2,,Audi
 Tiguan,2017.0,18998.0,Manual,40557.0,Diesel,145.0,,2.0,volkswagen
 Golf,2017.0,13995.0,Manual,19261.0,Diesel,150.0,61.4,1.6,volkswagen
 X1,2016.0,16798.0,Automatic,46344.0,Diesel,145.0,55.4,2.0,BMW
